IDCliente,AbandonoEmpresa,Genero,CiudadanoTerceraEdad,Soltero-a,Dependientes,MesesAntiguedad,ServicioTelefonico,SuscripcionLineasMultiples,SuscripcionServicioInternet,SuscripcionSeguridadEnLinea,SuscripcionCopiaDeSeguridadEnLinea,SuscripcionProteccionDispositivo,SuscripcionSoporteTecnico,ServicioEnLineaTransmisionTV,internet.StreamingMovies,Contrato,FacturaElectronica,MetodoPago,CargosMensuales,CargosTotales,Cuentas_Diarias,Rango_MesesAntiguedad,CargosMensuales_por_MesesAntiguedad
0002-ORFBO,0,Femenino,0,1,1,9,1,0,DSL,0,1,0,1,1,0,Anual,1,Cheque por correo,65.6,593.3,2.1866666666666665,0-10,590.4
0003-MKNFE,0,Masculino,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensual,0,Cheque por correo,59.9,542.4,1.9966666666666666,0-10,539.1
0004-TLHLJ,1,Masculino,0,0,0,4,1,0,Fibra optica,0,0,1,0,0,0,Mensual,1,Cheque electronico,73.9,280.85,2.4633333333333334,0-10,295.6
0011-IGKFF,1,Masculino,1,1,0,13,1,0,Fibra optica,0,1,1,0,1,1,Mensual,1,Cheque electronico,98.0,1237.85,3.2666666666666666,11-20,1274.0
0013-EXCHZ,1,Femenino,1,1,0,3,1,0,Fibra optica,0,0,0,1,1,0,Mensual,1,Cheque por correo,83.9,267.4,2.796666666666667,0-10,251.70000000000002
0013-MHZWF,0,Femenino,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensual,1,Tarjeta de credito (automatica),69.4,571.45,2.3133333333333335,0-10,624.6
0013-SMEOE,0,Femenino,1,1,0,71,1,0,Fibra optica,1,1,1,1,1,1,Dos años,1,Transferencia bancaria (automatica),109.7,7904.25,3.6566666666666667,71-80,7788.7
0014-BMAQU,0,Masculino,0,1,0,63,1,1,Fibra optica,1,0,0,1,0,0,Dos años,1,Tarjeta de credito (automatica),84.65,5377.8,2.8216666666666668,61-70,5332.950000000001
0015-UOCOJ,0,Femenino,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electronico,48.2,340.35,1.6066666666666667,0-10,337.40000000000003
0016-QLJIS,0,Femenino,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Dos años,1,Cheque por correo,90.45,5957.9,3.015,61-70,5879.25
